inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,1610,1,0,32,12,3.3540,2.65,2708,34,12,4.0288,16310,0.7215,12,7,5.0,0,14,10.910060,1.210154,196
1,1656,0,2,30,12,1.3889,2.65,2310,30,9,8.4416,21800,0.6615,7,7,11.0,1,5,19.499980,0.328512,25
1,1980,1,3,35,12,4.5455,4.04,3072,40,12,3.5807,21040,0.6915,12,7,5.0,0,15,12.039910,1.514138,225
1,456,0,3,34,12,1.0965,3.25,1920,53,10,3.5417,7300,0.7815,7,7,5.0,0,6,6.799996,0.092123,36
1,1568,1,2,31,14,4.5918,3.60,2000,32,12,10.0000,27300,0.6215,12,14,9.5,1,7,20.100060,1.524272,49
1,2032,0,0,54,12,4.7421,4.70,1040,57,11,6.7106,19495,0.6915,14,7,7.5,1,33,9.859054,1.556480,1089
1,1440,0,2,37,16,8.3333,5.95,2670,37,12,3.4277,21152,0.6915,14,7,5.0,0,11,9.152048,2.120260,121
1,1020,0,0,54,12,7.8431,9.98,4120,53,8,2.5485,18900,0.6915,3,3,5.0,0,35,10.900040,2.059634,1225
1,1458,0,2,48,12,2.1262,0.00,1995,52,4,4.2206,20405,0.7515,7,7,3.0,0,24,17.305000,0.754336,576
1,1600,0,2,39,12,4.6875,4.15,2100,43,12,5.7143,20425,0.6915,7,7,5.0,0,21,12.925000,1.544899,441
1,1969,0,1,33,12,4.0630,4.30,2450,34,12,9.7959,32300,0.5815,12,3,5.0,0,15,24.299950,1.401922,225
1,1960,0,1,42,11,4.5918,4.58,2375,47,14,8.0000,28700,0.6215,14,7,5.0,0,14,19.700070,1.524272,196
1,240,1,2,30,12,2.0833,0.00,2830,33,16,5.3004,15500,0.7215,16,16,5.0,0,0,15.000010,0.733953,0
1,997,0,2,43,12,2.2668,3.50,3317,46,12,4.3413,16860,0.7215,10,10,7.5,1,14,14.600000,0.818369,196
1,1848,0,1,43,10,3.6797,3.38,2024,45,17,10.8700,31431,0.5815,7,7,7.5,1,6,24.630910,1.302831,36
1,1224,0,3,35,11,1.3472,0.00,1694,38,12,9.1499,19180,0.7215,16,10,7.5,1,9,17.531030,0.298028,81
1,1400,0,2,43,12,3.2143,4.00,2156,45,12,6.1224,18600,0.6915,10,7,7.5,1,20,14.099980,1.167610,400
1,640,0,5,39,12,5.1750,2.25,2250,40,12,6.1498,19151,0.7215,12,12,7.5,1,6,15.839000,1.643839,36
1,2000,0,0,45,12,2.0000,2.30,2024,51,11,6.9170,18100,0.6915,7,7,5.0,1,23,14.100000,0.693147,529
1,1324,0,4,35,12,7.5529,3.94,2123,40,10,4.7103,20300,0.6915,12,7,5.0,0,9,10.299960,2.021932,81
1,2215,0,2,42,16,3.5052,3.30,4160,48,16,3.1310,30419,0.6215,10,16,7.5,0,5,22.654980,1.254248,25
1,1680,0,0,30,12,3.5714,3.80,2000,35,12,4.0000,14090,0.7215,12,10,3.0,0,11,8.090048,1.272958,121
1,1600,0,0,48,13,3.2500,3.26,2420,52,17,7.2227,22679,0.6615,7,3,5.0,1,18,17.479000,1.178655,324
1,800,0,0,45,12,3.2500,2.20,1150,53,17,7.9652,12160,0.7215,7,7,11.0,0,15,9.560000,1.178655,225
1,1955,1,1,31,12,2.1545,2.30,2024,31,12,4.0884,12487,0.7515,12,7,5.0,1,4,8.274953,0.767559,16
1,660,0,2,43,17,3.7879,0.00,1904,43,17,14.1810,29850,0.5815,16,14,9.5,1,21,27.349990,1.331812,441
1,525,0,0,59,12,4.0000,3.18,2448,53,16,6.5359,18100,0.6915,3,7,9.5,1,31,16.000000,1.386294,961
1,1904,0,3,32,12,4.7269,6.07,2000,33,13,8.5000,26000,0.6615,3,7,11.0,1,9,16.999980,1.553270,81
1,1516,1,0,31,17,7.2559,6.00,2390,30,17,6.2762,26100,0.6215,12,12,5.0,0,7,15.100060,1.981815,49
1,346,0,0,42,12,5.8671,6.39,1920,47,10,5.2083,17730,0.7215,12,12,9.5,0,7,15.699980,1.769360,49
1,1040,0,0,50,11,1.5385,0.00,1840,53,10,2.7821,6719,0.7515,7,7,7.5,1,32,5.118960,0.430808,1024
1,732,0,0,59,16,2.4590,2.50,3360,57,17,4.9107,18550,0.6915,3,3,14.0,1,11,16.750010,0.899755,121
1,1880,0,2,36,13,5.8511,5.20,2284,35,13,5.8669,24600,0.6615,12,10,7.5,0,16,13.599930,1.766630,256
1,1680,0,1,51,12,3.5714,3.29,1875,50,8,7.5200,23100,0.6915,7,14,5.0,1,14,17.100050,1.272958,196
1,2081,0,3,45,16,3.8068,4.19,2140,47,17,7.5449,24656,0.6615,12,12,5.0,1,27,16.734050,1.336789,729
1,690,0,1,42,11,2.4638,0.00,1896,44,8,5.5380,15897,0.7515,10,3,7.5,0,0,14.196980,0.901705,0
1,4210,0,0,46,12,2.3753,4.63,1040,49,16,6.9231,20320,0.6915,3,3,11.0,1,17,10.319990,0.865124,289
1,2205,0,1,46,10,4.5351,4.55,2200,52,12,5.0000,21384,0.6615,10,3,11.0,0,28,11.384100,1.511847,784
1,1952,0,0,51,14,5.6183,5.60,1952,58,12,7.3064,25561,0.6215,7,7,14.0,0,24,14.594080,1.726029,576
1,1302,0,0,30,17,14.6310,9.53,1560,30,17,11.2180,36550,0.5800,14,17,5.0,1,11,17.500440,2.683142,121
1,112,1,2,30,12,2.6786,0.00,4030,33,16,3.8462,15810,0.7215,12,12,3.0,0,1,15.510000,0.985294,1
1,893,0,0,57,12,3.9194,3.50,2570,58,12,5.8366,25500,0.6215,9,9,7.5,1,14,21.999980,1.365939,196
1,583,1,2,31,16,2.5729,9.98,1530,34,16,13.7250,24000,0.6615,14,16,9.5,1,6,22.500000,0.945034,36
1,480,0,2,48,12,4.5375,4.65,3149,48,8,6.3493,22172,0.6615,3,3,5.0,0,10,19.994000,1.512376,100
1,1900,0,3,30,12,2.0000,2.23,2690,32,12,5.2528,17930,0.7215,12,7,5.0,0,6,14.130000,0.693147,36
1,576,0,2,34,12,3.4722,3.84,3096,33,12,1.3075,7000,0.7815,12,7,3.0,0,4,5.000013,1.244788,16
1,2056,0,2,48,16,2.0161,0.00,2552,53,16,2.7998,25300,0.7215,14,16,5.0,1,10,21.154900,0.701165,100
1,1984,0,0,45,12,4.5716,4.82,2040,47,11,2.6961,16212,0.7215,10,10,11.0,0,22,7.141946,1.519863,484
1,2640,0,0,51,12,2.2727,0.00,2180,50,13,7.5688,22650,0.6615,7,7,3.0,0,16,16.650070,0.820969,256
1,240,0,2,30,12,2.6375,0.00,1864,37,12,3.4077,6985,0.7815,12,7,14.0,0,6,6.352000,0.969831,36
1,1173,0,1,46,12,2.2899,2.50,2068,46,12,6.5401,30000,0.6915,7,7,11.0,1,12,27.313950,0.828508,144
1,3640,0,0,58,12,1.0989,0.00,2010,58,12,7.2139,18500,0.6915,7,3,9.5,1,32,14.500000,0.094310,1024
1,340,0,8,37,12,1.1765,0.00,2152,40,10,6.2732,16658,0.7515,12,7,5.0,0,15,16.257990,0.162544,225
1,500,0,0,52,8,1.6000,0.00,1496,54,11,5.8824,10300,0.7515,7,7,5.0,1,17,9.500000,0.470004,289
1,1599,0,0,52,10,1.8762,2.80,2100,47,4,3.8095,11000,0.7515,7,3,7.5,0,34,7.999956,0.629248,1156
1,1830,0,0,31,16,4.0437,4.20,1960,35,14,6.3776,19900,0.6915,12,12,7.5,1,9,12.500030,1.397160,81
1,1920,0,0,55,14,9.6354,8.75,1985,55,15,6.0453,32500,0.6400,7,7,14.0,1,37,14.000030,2.265444,1369
1,2052,0,0,34,17,8.0409,8.25,2020,33,17,8.8119,37300,0.5800,17,17,7.5,1,10,20.800070,2.084541,100
1,2312,0,0,55,14,4.5990,5.58,2178,56,16,8.8765,30018,0.5815,17,7,11.0,1,35,19.385110,1.525839,1225
1,196,0,2,39,12,2.1429,2.50,3684,39,12,3.3420,12807,0.7515,12,7,14.0,1,6,12.386990,0.762160,36
1,2500,0,3,40,14,4.4000,5.50,5010,42,13,3.1836,39500,0.5515,14,3,7.5,0,19,28.500000,1.481605,361
1,1980,0,4,43,12,3.5354,3.75,1880,47,12,6.9149,22050,0.6915,12,12,9.5,1,10,15.049910,1.262826,100
1,1840,0,0,48,8,2.7174,4.80,1904,56,8,5.5147,15500,0.7215,7,7,14.0,1,11,10.499980,0.999676,121
1,320,0,0,47,12,6.2500,6.25,2083,47,12,5.2808,13810,0.7215,7,7,9.5,1,15,11.810000,1.832582,225
1,419,0,4,41,12,11.9330,6.30,2125,44,12,3.2000,11950,0.7515,7,7,5.0,1,12,6.950073,2.479308,144
1,1880,0,0,36,8,3.5931,3.75,1985,37,12,5.8791,19175,0.6915,12,12,7.5,0,12,12.419970,1.279015,144
1,72,0,2,46,17,6.9444,0.00,2640,48,17,6.2500,17900,0.6915,12,16,7.5,0,14,17.400000,1.937936,196
1,120,0,0,34,12,2.9167,0.00,2070,51,8,7.4879,15850,0.7215,12,7,5.0,1,11,15.500000,1.070453,121
1,1885,0,3,41,12,3.0769,2.90,2107,48,8,6.9767,27017,0.6915,7,7,5.0,1,9,21.217040,1.123923,81
1,240,0,1,51,12,3.7500,0.00,2250,54,10,8.0000,18900,0.6915,12,7,5.0,0,24,18.000000,1.321756,576
1,1729,0,0,33,12,5.7259,4.76,2880,34,16,4.1319,21800,0.6915,12,12,7.5,1,12,11.899920,1.745000,144
1,1850,0,0,52,12,3.6757,3.40,1848,53,12,14.4760,33552,0.5515,10,10,7.5,1,13,26.751960,1.301744,169
1,2033,0,0,58,9,5.1648,4.32,1927,53,7,5.7343,22650,0.6615,7,9,7.5,1,29,12.149960,1.641866,841
1,608,2,4,34,10,8.2237,3.00,1304,38,9,3.3742,15200,0.7915,0,0,7.5,1,11,10.199990,2.107020,121
1,1153,0,1,31,12,4.3365,4.52,3000,35,12,1.8333,13120,0.7215,7,10,7.5,1,13,8.120015,1.467068,169
1,2208,0,1,48,12,4.9819,5.31,1892,52,12,5.6025,21660,0.6615,12,14,5.0,1,19,10.659960,1.605811,361
1,252,0,2,32,12,0.3571,0.00,3644,32,12,4.2975,18190,0.7215,7,7,3.0,0,2,18.100010,-1.029739,4
1,337,0,0,49,17,2.9674,0.00,1430,47,17,3.9161,9600,0.7515,3,3,14.0,1,24,8.599986,1.087686,576
1,90,2,2,32,15,1.0000,0.00,2350,31,14,4.8787,13755,0.7515,10,12,7.5,1,9,13.665000,0.000000,81
1,1174,0,0,58,12,2.5554,4.87,1948,59,16,9.2402,35350,0.6615,7,12,7.5,1,6,32.349960,0.938209,36
1,372,0,0,50,6,0.8602,2.25,1804,42,12,6.6519,12405,0.7215,12,7,7.5,1,22,12.085010,-0.150590,484
1,30,0,0,60,14,1.0000,0.00,2326,51,12,4.6217,12180,0.7515,12,17,9.5,0,30,12.150000,0.000000,900
1,1800,0,1,50,12,2.9261,0.00,1739,55,11,9.9741,22962,0.6615,7,3,7.5,1,10,17.695020,1.073671,100
1,282,0,0,56,14,3.5461,2.50,1176,57,17,20.9180,25700,0.6215,7,7,9.5,1,6,24.700000,1.265848,36
1,720,0,0,51,9,1.6264,2.20,1100,55,8,1.9400,3305,0.7915,7,7,3.0,0,29,2.133992,0.486369,841
1,1440,0,1,54,17,8.3333,6.00,1528,58,17,8.8351,32950,0.5815,7,12,5.0,1,29,20.950050,2.120260,841
1,2100,0,0,59,13,3.0952,2.95,2250,52,15,4.6667,17000,0.6915,7,7,5.0,1,36,10.500080,1.129853,1296
1,1000,0,2,46,9,2.7000,2.35,1927,47,10,5.1894,13250,0.7515,7,7,5.0,1,19,10.550000,0.993252,361
1,952,0,1,46,15,5.2521,0.00,2414,47,16,18.7240,50750,0.4415,7,12,5.0,1,8,45.750000,1.658628,64
1,1413,1,3,39,12,1.4154,2.20,768,49,8,10.4170,15632,0.7715,10,10,14.0,0,13,13.632040,0.347412,169
1,2100,0,2,44,12,4.7986,4.85,1984,43,14,8.8458,28316,0.6215,7,0,11.0,1,16,18.238940,1.568324,256
1,120,2,0,33,12,1.6667,2.37,2246,36,12,7.5690,17290,0.7215,12,12,9.5,1,11,17.090000,0.510846,121
1,3000,1,2,33,12,1.1217,0.00,3024,30,17,4.4507,33600,0.6215,10,10,7.5,1,15,30.234900,0.114845,225
1,1000,0,2,48,12,0.5000,0.00,2921,52,12,9.3204,29200,0.6215,12,7,9.0,1,6,28.700000,-0.693147,36
1,336,0,4,31,12,0.7143,0.00,2045,37,17,9.1687,19870,0.6915,7,7,11.0,0,13,19.630000,-0.336452,169
1,1216,0,1,45,12,2.7961,2.90,1928,44,12,6.4834,16225,0.7215,7,7,11.0,0,22,12.824940,1.028226,484
1,988,0,1,45,12,4.8583,4.50,1920,44,10,7.8125,28600,0.6915,7,3,5.0,1,24,23.800000,1.580689,576
1,2581,0,2,32,13,1.7435,2.60,2280,37,17,11.4040,30800,0.5815,14,12,7.5,1,2,26.300030,0.555895,4
1,2030,0,0,47,12,2.4631,2.80,2300,47,17,5.0870,25700,0.6915,7,7,3.0,0,6,20.699910,0.901421,36
1,413,0,2,34,13,2.4213,3.00,2480,35,13,6.9758,27000,0.6215,12,12,3.0,0,2,26.000000,0.884305,4
1,782,0,1,37,12,1.5345,2.30,1135,34,10,5.2863,12077,0.7715,12,7,9.5,1,2,10.877020,0.428205,4
1,1388,0,1,36,12,2.8818,1.87,1384,39,12,11.5620,29612,0.6615,7,7,11.0,0,14,25.612060,1.058415,196
1,1450,1,2,47,12,2.4069,3.00,1848,50,14,8.6061,24479,0.6915,7,10,9.5,1,9,20.988990,0.878340,81
1,1720,0,1,48,16,5.2326,4.68,2499,46,17,12.8050,79750,0.4415,14,14,7.5,1,11,70.749930,1.654908,121
1,800,0,2,42,12,3.7500,2.50,2390,43,12,6.6946,20050,0.6915,12,7,11.0,0,9,17.050000,1.321756,81
1,360,0,3,33,13,1.3889,0.00,2400,44,14,8.3333,21500,0.6915,10,12,11.0,1,6,21.000000,0.328512,36
1,2000,0,0,46,11,4.0000,4.61,1920,53,8,4.1667,16120,0.6915,7,7,5.0,0,19,8.120000,1.386294,361
1,1176,0,3,47,12,3.2313,3.35,2301,48,13,5.4759,24686,0.7215,7,7,9.5,0,26,20.885990,1.172885,676
1,2058,0,1,44,12,3.4014,3.80,1944,43,10,5.1440,24669,0.6915,7,10,9.5,1,19,17.668920,1.224187,361
1,900,0,4,36,12,1.3333,2.20,2100,37,17,11.6670,26400,0.6615,7,7,7.5,1,3,25.200030,0.287657,9
1,215,2,0,31,17,9.3023,9.98,1920,32,16,7.2917,16245,0.7215,12,12,7.5,1,7,14.245010,2.230262,49
1,2000,0,0,55,14,4.5000,4.37,2880,55,14,4.8611,23300,0.6615,7,7,9.5,1,28,14.300000,1.504077,784
1,757,0,1,45,16,4.6235,4.50,1932,48,16,12.1640,27200,0.6215,12,7,9.5,1,13,23.700010,1.531152,169
1,1264,0,0,47,17,3.9557,0.00,3234,48,17,10.8230,51000,0.4615,10,17,9.5,1,9,46.000000,1.375158,81
1,2064,0,3,46,12,5.8140,6.00,2805,47,12,12.4780,55000,0.4615,10,7,14.0,1,15,42.999900,1.760269,225
1,1280,0,0,49,11,0.5000,0.00,2272,52,9,6.1620,15389,0.7215,7,7,7.5,1,20,14.749000,-0.693147,400
1,1715,0,0,49,12,4.0816,3.75,2227,52,14,7.1846,23150,0.6615,7,7,9.5,1,29,16.150050,1.406489,841
1,2000,0,2,45,12,6.0000,4.95,1720,49,6,7.0930,29774,0.6215,7,10,14.0,1,9,17.774000,1.791759,81
1,12,1,3,38,17,3.6667,0.00,2300,38,13,17.8260,91044,0.4415,12,10,14.0,1,1,91.000000,1.299292,1
1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.3930,28200,0.5815,7,12,14.0,1,8,22.299930,1.351004,64
1,561,0,3,54,13,2.7629,2.53,2304,57,16,11.7190,36150,0.5515,7,7,9.5,1,19,34.600010,1.016281,361
1,2058,0,0,41,11,2.9310,2.90,1984,42,12,4.7883,15652,0.7215,12,12,7.5,0,23,9.620002,1.075344,529
1,1823,0,2,43,12,4.3884,4.20,1890,33,14,4.2328,18900,0.7515,14,7,11.0,0,3,10.899950,1.478965,9
1,1680,1,1,31,16,5.4167,4.70,1970,32,12,7.1066,23600,0.6615,12,10,7.5,0,13,14.499940,1.689487,169
1,1440,0,0,47,17,9.8611,7.10,2400,46,12,8.3333,36200,0.6100,7,7,7.5,1,8,22.000020,2.288598,64
1,4950,0,2,35,12,0.1616,2.75,2504,37,12,6.9888,18700,0.6915,10,10,7.5,0,17,17.900080,-1.822631,289
1,1176,0,3,45,16,0.3826,3.75,2398,48,17,9.5913,24125,0.6615,7,7,11.0,1,4,23.675060,-0.960765,16
1,1100,1,0,33,12,3.6364,3.58,1960,39,12,6.0204,15800,0.7215,7,7,7.5,0,15,11.799960,1.290994,225
1,1516,0,1,54,16,2.3747,2.40,2550,55,12,2.9686,19742,0.7215,12,7,3.0,0,11,16.141950,0.864871,121
1,900,0,4,35,8,4.6667,3.95,2500,41,12,7.0000,22600,0.6915,10,7,9.5,0,7,18.399970,1.540452,49
1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627,17500,0.7215,7,7,7.5,0,0,15.499950,0.616212,0
1,480,0,0,55,12,5.2000,0.00,2640,60,12,4.7364,19820,0.6915,7,7,7.5,0,0,17.324000,1.648659,0
1,288,0,2,34,12,3.2986,4.62,1936,36,12,8.7810,20155,0.6915,12,16,11.0,1,10,19.205000,1.193498,100
1,1875,0,1,38,13,8.5333,8.50,2136,41,12,9.8315,37300,0.5800,10,12,7.5,1,8,21.300060,2.143976,64
1,630,0,1,45,11,2.0635,0.00,1955,51,10,6.6496,24860,0.7215,7,7,7.5,1,2,23.560000,0.724404,4
1,234,0,1,47,12,2.5641,2.50,1980,48,10,9.8485,21450,0.6615,12,3,7.5,1,4,20.850000,0.941608,16
1,1600,0,2,39,12,2.1875,0.00,2550,42,11,9.8039,29650,0.6215,7,7,5.0,1,6,26.150000,0.782759,36
1,960,1,0,36,14,6.2500,0.00,2058,37,13,8.2604,23000,0.6615,7,7,11.0,1,18,17.000000,1.832582,324
1,120,1,2,33,12,3.3333,0.00,2263,32,14,9.0676,21120,0.6915,7,7,9.0,1,3,20.720000,1.203963,9
1,2025,0,0,50,12,4.4444,4.80,1763,54,13,8.5082,26000,0.6215,7,12,5.0,1,22,17.000090,1.491645,484
1,1809,0,0,58,12,6.6335,6.45,2096,59,14,7.1565,28000,0.6215,3,7,7.5,1,33,16.000000,1.892133,1089
1,3087,0,0,49,17,8.4224,9.98,2059,47,13,7.0423,45500,0.5200,12,12,11.0,1,28,19.500050,2.130895,784
1,910,0,2,41,14,4.3956,0.00,1820,40,17,6.5934,16000,0.7215,16,12,14.0,1,23,12.000000,1.480604,529
1,1840,0,1,51,12,2.4457,2.50,2832,53,8,4.3457,18232,0.6915,7,14,11.0,0,27,13.731910,0.894331,729
1,784,0,0,53,9,1.2245,2.25,1990,60,10,7.2362,28160,0.7215,3,7,14.0,1,11,27.199990,0.202533,121
1,400,1,2,36,12,1.6250,0.00,2000,40,7,1.7400,5965,0.8015,12,7,11.0,1,6,5.315000,0.485508,36
1,1000,0,2,46,12,3.0000,5.50,1885,46,12,6.8966,19000,0.7215,7,7,9.5,1,11,16.000000,1.098612,121
1,1904,0,2,36,12,4.7269,4.20,2860,37,12,5.0455,36872,0.5515,12,12,11.0,1,14,27.871980,1.553270,196
1,1771,0,1,53,14,1.1293,9.98,1913,48,16,17.2500,42000,0.4915,12,12,14.0,1,17,40.000010,0.121598,289
1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3333,26900,0.6215,16,14,11.0,1,17,15.900030,2.001804,289
1,740,0,2,42,17,4.4595,1.65,2880,45,16,9.3750,30800,0.5815,12,10,9.0,0,14,27.499970,1.495037,196
1,1820,1,1,33,15,2.4725,0.00,1993,32,16,8.2790,21520,0.6915,12,12,11.0,1,11,17.020050,0.905230,121
1,1275,0,3,43,12,1.8824,3.00,2250,47,14,4.5000,24795,0.6915,7,7,7.5,1,7,22.394940,0.632548,49
1,450,1,0,31,16,4.0000,4.00,2286,30,16,4.1995,12900,0.7215,14,16,14.0,1,8,11.100000,1.386294,64
1,1221,0,0,47,17,8.1900,5.99,1880,47,16,16.0640,42700,0.4915,7,7,7.5,1,6,32.700010,2.102914,36
1,1550,0,0,54,17,7.0968,6.00,2350,58,17,11.2770,38800,0.5215,10,17,11.0,1,8,27.799960,1.959644,64
1,180,1,3,33,12,1.6667,0.00,3640,33,11,0.5494,2500,0.9415,7,3,3.0,0,4,2.199994,0.510846,16
1,2090,0,0,43,16,3.4450,3.85,1770,47,14,9.5480,26921,0.6215,14,10,11.0,1,25,19.720950,1.236924,625
1,1960,0,1,46,13,4.2347,4.20,1875,49,13,5.3333,18300,0.6915,7,9,3.0,0,24,9.999988,1.443313,576
1,1440,0,3,35,12,2.7778,4.10,2200,38,9,5.4545,17200,0.7215,7,7,14.0,1,11,13.199970,1.021659,121
1,794,0,3,37,11,1.8892,3.85,2033,39,12,5.9026,14209,0.7515,12,3,9.5,1,19,12.708970,0.636154,361
1,993,0,2,37,16,5.0352,8.30,2739,39,17,9.8576,32300,0.5815,12,16,14.0,1,9,27.300050,1.616453,81
1,160,0,3,34,14,1.2500,0.00,1626,38,14,11.6850,21400,0.7215,17,12,7.5,1,19,21.200000,0.223143,361
1,105,1,0,43,16,2.8571,0.00,2248,44,17,6.2278,14700,0.7215,7,7,9.5,0,14,14.400000,1.049807,196
1,1200,0,0,46,12,4.1167,4.33,2140,48,12,9.1748,25516,0.6215,7,7,9.5,1,22,20.575960,1.415052,484
1,450,0,3,35,9,1.7778,2.60,1985,42,12,6.2972,13300,0.7515,3,7,5.0,1,6,12.499990,0.575377,36
1,996,0,0,46,17,13.5540,9.98,1528,59,17,10.4710,31000,0.5815,12,12,9.5,1,23,17.500220,2.606682,529
1,1052,0,0,46,14,4.5627,4.90,1920,48,16,14.5830,48800,0.4915,7,3,11.0,1,15,44.000040,1.517915,225
1,1128,0,2,43,12,2.1277,2.40,1918,46,10,6.2143,15519,0.7215,7,7,14.0,1,6,13.118950,0.755042,36
1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6288,19500,0.6915,7,7,7.5,0,11,14.000060,1.094972,121
1,1910,0,2,41,11,2.5654,2.57,2144,46,9,3.8246,14545,0.7215,3,7,5.0,0,2,9.645086,0.942114,4
1,980,0,1,54,12,5.6122,5.00,1920,54,15,7.8125,22897,0.6915,7,7,14.0,1,22,17.397050,1.724943,484
1,2317,0,1,31,12,2.8054,3.87,2241,41,9,3.4806,14300,0.7215,10,10,7.5,1,10,7.799889,1.031546,100
1,1089,0,0,44,10,1.6070,0.00,880,47,11,5.5500,14884,0.7515,10,10,9.5,1,14,13.133980,0.474369,196
1,800,0,1,32,12,2.2500,0.00,2070,31,16,11.5940,27400,0.6215,12,7,11.0,1,12,25.600000,0.810930,144
